@comentario dataset de estres para ISODATA con 100 puntos 
@k: 4
@tn: 5
@ts: 1.5
@tc: 3.0
@max_pares: 2
@iter: 20
1.66,19.04,7.79
-0.23,2.27,1.88
7.98,11.74,10.52
18.69,-0.52,20.86
18.64,2.03,21.80
-0.50,-1.40,2.49
-1.96,0.27,-1.14
-1.19,20.42,11.99
1.90,19.35,8.29
22.06,1.85,18.99
12.48,7.87,8.57
-1.34,18.01,8.89
2.13,21.74,8.33
1.89,2.23,-2.07
0.70,-2.37,-1.12
1.88,-0.93,0.78
8.82,10.00,8.39
2.29,-0.82,-2.04
21.21,0.26,19.64
10.52,11.09,8.52
11.15,8.51,9.06
8.98,12.34,10.40
11.80,7.56,11.10
8.43,10.48,10.88
-0.34,19.62,9.84
21.54,1.15,20.18
1.31,0.20,1.39
-1.16,18.55,12.21
12.44,10.77,7.54
22.50,1.68,22.34
-1.43,-1.84,2.18
21.55,-2.47,21.53
21.96,-2.07,19.61
0.70,18.06,9.67
2.37,19.39,10.26
2.19,18.17,8.08
0.99,19.20,8.28
0.09,18.11,8.62
-0.38,-1.12,-2.48
-0.07,-1.43,-0.49
11.81,10.25,7.75
2.48,0.15,2.36
10.15,7.50,9.12
10.36,9.86,11.42
1.67,1.02,0.56
-1.25,2.12,-0.28
8.55,8.83,12.18
10.92,11.71,11.38
9.48,12.07,9.79
7.99,9.51,9.20
12.17,8.52,11.08
8.62,11.18,10.88
8.60,7.85,10.66
21.81,-1.26,18.45
22.48,0.75,19.69
-0.26,19.61,8.89
18.68,-1.90,21.95
0.28,1.09,-1.73
10.05,7.95,7.74
21.54,-1.55,17.98
20.67,-1.18,19.94
1.65,0.59,1.81
18.64,-1.05,17.90
1.15,0.87,2.42
11.36,10.69,8.81
-0.38,-1.44,0.20
-1.00,19.08,11.26
-1.71,2.30,-2.10
20.91,0.18,18.83
-2.14,-0.21,2.49
2.03,21.73,7.96
17.60,2.15,21.89
0.42,20.01,11.76
-2.35,18.59,10.03
-0.40,0.42,0.11
18.65,-2.34,19.08
2.45,0.70,0.28
18.05,0.64,21.46
-2.45,17.88,11.92
-1.27,20.47,10.60
-0.81,0.44,-1.35
-0.38,22.29,12.48
18.83,2.17,21.90
10.39,11.02,7.73
-0.39,17.82,9.41
18.82,-1.27,20.31
9.93,7.85,11.30
21.59,-1.00,20.82
21.33,-1.86,19.88
0.69,20.54,8.26
10.22,8.60,10.45
0.68,-0.68,-0.65
-2.15,18.69,10.84
20.74,0.55,18.36
18.83,1.42,19.78
20.21,1.24,17.79
0.25,18.83,11.86
-2.37,-1.51,0.75
7.79,9.39,12.43
1.15,18.32,9.40
