@comentario dataset de estres para DBSCAN con 100 puntos (3 clusters y mucho ruido)
@eps: 4.5
@mp: 4
32.63,40.76,3.26
42.62,41.55,8.03
42.71,38.92,11.17
8.81,10.16,7.91
9.63,42.45,31.41
41.17,39.58,9.16
41.10,41.70,12.56
8.24,11.82,8.26
41.25,40.73,13.41
9.43,43.18,27.75
7.18,7.51,7.72
8.39,6.55,7.93
16.35,41.45,1.38
11.88,37.90,26.64
9.40,37.66,30.62
41.36,43.25,7.85
8.98,5.56,19.86
11.67,39.78,30.22
42.02,40.23,13.01
7.02,38.18,29.72
40.43,41.89,12.09
38.70,18.66,12.54
12.72,39.83,27.69
8.57,41.80,33.44
7.10,8.67,6.54
7.24,38.65,30.56
13.23,39.42,29.08
35.85,30.75,30.42
12.06,39.29,27.71
9.91,27.95,28.07
41.16,37.70,10.98
8.85,41.64,30.49
41.11,40.78,8.48
6.76,6.66,9.82
38.12,42.52,8.92
9.30,37.29,30.22
12.80,10.74,13.34
40.27,5.86,6.87
39.74,11.77,17.75
32.33,8.33,34.83
7.63,12.04,10.67
39.40,39.10,7.15
39.65,43.71,3.21
18.84,34.11,3.88
2.28,19.83,12.03
9.73,37.40,27.41
12.73,39.18,32.29
9.12,9.22,11.28
40.02,42.85,12.62
33.89,36.24,33.00
11.92,9.78,9.32
7.51,4.33,30.37
8.98,11.36,12.96
13.38,13.11,11.12
38.57,41.76,7.06
13.43,10.24,9.73
10.79,8.02,12.81
37.80,37.01,8.51
6.83,36.75,28.90
30.55,17.00,2.11
40.86,43.77,33.54
38.30,42.67,9.37
10.40,43.14,30.62
11.50,37.78,6.34
7.94,47.18,35.24
21.95,34.78,16.71
40.48,14.79,4.94
42.66,42.96,11.55
8.87,13.13,10.20
39.56,43.25,8.29
11.73,10.76,9.36
12.24,7.07,9.48
37.74,37.52,7.95
13.07,9.92,9.45
30.32,15.87,13.38
9.33,7.90,7.75
10.84,40.92,31.86
9.00,8.01,12.95
10.23,40.93,30.58
8.30,9.33,11.85
39.29,39.61,8.68
39.29,42.26,9.30
42.42,37.32,12.26
7.57,11.12,12.45
11.73,37.67,31.99
13.06,39.85,32.75
7.42,12.55,10.70
21.37,3.62,14.15
8.25,38.42,30.51
9.61,37.94,31.74
6.51,38.67,31.21
42.16,41.22,8.25
9.18,11.29,10.27
17.12,31.25,7.52
48.33,36.53,0.50
12.01,6.89,7.98
6.61,38.81,29.96
40.60,36.83,8.01
13.77,18.26,22.39
41.08,41.07,8.67
